corpus,label,n_files,n_frames_total,n_frames_speech,hours,resid_cos_mean,resid_cos_median,resid_cos_std,resid_cos_p95,resid_l2sq_mean,resid_l2sq_median,resid_l2sq_p95,entropy_mean,maxprob_mean,margin_mean,raw_perplexity_g0,raw_perplexity_g1,raw_perplexity_mean,raw_utilisation_g0,raw_utilisation_g1,raw_utilisation_mean,raw_joint_perplexity,raw_joint_codes_used,raw_n_frames_used,matched_perplexity_g0,matched_perplexity_g1,matched_perplexity_mean,matched_utilisation_g0,matched_utilisation_g1,matched_utilisation_mean,matched_joint_perplexity,matched_joint_codes_used,matched_n_frames_used,n_sources,srcmatched_perplexity_g0,srcmatched_perplexity_g1,srcmatched_perplexity_mean,srcmatched_utilisation_g0,srcmatched_utilisation_g1,srcmatched_utilisation_mean,srcmatched_joint_perplexity,srcmatched_joint_codes_used,srcmatched_n_frames_used,nce,posgap,acc
Sinhala_YT,Sinhala (YouTube),999,734847,563507,4.085444357638889,0.9251941442489624,0.9282345175743104,0.0888964980840683,1.06363844871521,843.4419555664062,831.69384765625,981.3199462890624,0.1990199089050293,0.9199029803276062,6.950679302215576,63.91021459893644,100.78484008252184,82.34752734072913,0.25,0.359375,0.3046875,4745.930434004761,7674,563507,63.994827159855,100.83849450035348,82.41666083010423,0.25,0.359375,0.3046875,4636.688120494347,7000,127679,604,63.2082936326405,98.43927397540163,80.82378380402108,0.240625,0.359375,0.3,3203.2078616395606,4284,12876,2.0846712589263916,0.5398606657981873,0.4214250147342682
Tamil_YT,Tamil (YouTube),1000,830451,634184,4.6166513020833335,0.9278397560119628,0.9297819137573242,0.0869848951697349,1.067315697669983,841.0143432617188,828.5045166015625,980.1752319335938,0.191111758351326,0.9228864312171936,7.143534183502197,62.05777872496383,95.2409516700026,78.6493651974832,0.25,0.359375,0.3046875,4388.84664861062,7695,634184,62.04638656540335,95.08821558090006,78.5673010731517,0.25,0.359375,0.3046875,4276.8125911617935,6772,127679,538,58.31953680589382,92.32575792923672,75.32264736756527,0.2375,0.359375,0.2984375,3110.893981333442,4191,15699,1.9545232057571411,0.5594343543052673,0.4426996111869812
English_CV,English (Common Voice),1000,255619,127679,1.42508,0.9150595664978028,0.9222199320793152,0.1027901545166969,1.0684627294540403,847.18310546875,837.531494140625,998.4057006835938,0.1900711953639984,0.9233609437942504,7.221708297729492,68.60695599286326,104.79015008163002,86.69855303724664,0.25,0.359375,0.3046875,4438.418966992544,7252,127679,68.60695599286326,104.79015008163002,86.69855303724664,0.25,0.359375,0.3046875,4438.418966992544,7252,127679,722,66.24516574168221,100.80059674073016,83.52288124120619,0.234375,0.359375,0.296875,1366.3734299820824,1607,2384,2.829162120819092,0.4528019428253174,0.33510875701904297
Sinhala_read,"Sinhala (OpenSLR, read)",1000,287022,151998,1.5986309548611113,0.9049142599105836,0.907890796661377,0.10563874989748,1.066959261894226,828.0303955078125,814.65869140625,972.5301513671876,0.1691609025001526,0.9314224123954772,7.910692691802978,49.89968936918438,76.64582615717117,63.27275776317778,0.24375,0.359375,0.3015625,2375.000525527817,5353,151998,49.85677609145565,76.61978018750555,63.2382781394806,0.24375,0.359375,0.3015625,2366.9571913673744,5241,127679,12,49.86395537014517,76.03670461889502,62.95032999452009,0.24375,0.359375,0.3015625,2348.390175528915,5216,122465,2.631559371948242,0.48891907930374146,0.3794490396976471
Tamil_read,"Tamil (OpenSLR, read)",1000,294004,157895,1.637481510416667,0.911297082901001,0.9163203835487366,0.1037460938096046,1.0684021711349487,831.1436157226562,819.8085327148438,974.3064575195312,0.1667817384004593,0.9322268962860109,7.895933151245117,55.42900712316381,89.66091641842294,72.54496177079338,0.246875,0.359375,0.303125,3254.205981755985,5787,157895,55.36312669302707,89.57434150463095,72.468734098829,0.246875,0.359375,0.303125,3237.6395274282013,5648,127679,50,53.85639126431183,85.7771757551293,69.81678350972057,0.24375,0.359375,0.3015625,2855.614948993388,4661,42148,2.6784727573394775,0.48434311151504517,0.3714298903942108
