corpus,resid,ent,margin,perp,masked_n_files,masked_n_masked_frames,masked_fails,masked_nce_mean,masked_nce_median,masked_nce_p95,masked_acc_mean,masked_tie_rate,masked_pos_gap_mean
English_CV,0.9150595664978027,0.1900711953639984,7.221708297729492,86.69855303724664,1000,62708,0,2.829162120819092,2.9621667861938477,5.2093186378479,0.33510875701904297,0.2101326733827591,0.4528019428253174
Sinhala_YT,0.9251941442489624,0.1990199089050293,6.950679302215576,82.34752734072913,999,144168,0,2.0846712589263916,1.9521982669830322,4.634988784790039,0.4214250147342682,0.12990400195121765,0.5398606657981873
Tamil_YT,0.9278397560119629,0.191111758351326,7.143534183502197,78.6493651974832,1000,160601,0,1.9545232057571411,1.7909979820251465,4.4708685874938965,0.4426996111869812,0.1266181468963623,0.5594343543052673
Sinhala_read,0.9049142599105835,0.1691609025001526,7.9106926918029785,63.27275776317778,1000,62401,0,2.631559371948242,2.7100632190704346,5.205169677734375,0.3794490396976471,0.20696783065795898,0.48891907930374146
Tamil_read,0.911297082901001,0.1667817384004593,7.895933151245117,72.54496177079338,1000,64774,0,2.6784727573394775,2.757129669189453,5.365082740783691,0.3714298903942108,0.25522586703300476,0.48434311151504517
Ctl_SpeedPitch,0.9527013897895813,0.25026047229766846,5.746102809906006,64.52571009878308,300,23343,0,3.1180520057678223,3.2353358268737793,5.228277206420898,0.22032301127910614,0.24851132929325104,0.41948202252388
Ctl_Babble,0.8994608521461487,0.24520573019981384,5.9184889793396,77.95644215562433,300,19374,0,3.134685516357422,3.2708182334899902,5.355954647064209,0.30799010396003723,0.06993909180164337,0.33448123931884766
Ctl_Reversed,0.902685284614563,0.2208317220211029,6.552934646606445,82.39428589166502,300,19374,0,3.4189038276672363,3.5637049674987793,5.515093803405762,0.21394652128219604,0.1946423053741455,0.32771995663642883
Ctl_Tones,0.8476560711860657,0.18333159387111664,7.320009231567383,12.853529128301577,300,19374,0,3.8158621788024902,3.8344573974609375,4.9925994873046875,0.026323938742280006,0.7046557068824768,0.3505868911743164
Ctl_WhiteNoise,1.0138384103775024,0.14909176528453827,6.590330600738525,1.6176655425698443,300,19374,0,4.851956844329834,4.419350624084473,6.951244354248047,0.0030969339422881603,0.701662003993988,0.009755068458616734
